1,6vKxLcVWwu0WRo5nP,99,"mvJfNmCnCBWpBsAljT St, N7bJUf9Vmc",7633.65
2,L7rlMD7kx5KUc,80,"n6tiaiEPL93Ll91IyjvM5 St, KZFjhQP",4274.8
3,BAARDTIbxeKSwGyFO3,97,"MlrF6B5iAVX7HHXZ St, LIpKrpkWhi",5310.86
4,UvjackKgnowdGssA,61,"BnKWcijkZrlztkqmbLhAN St, UzVyTLTf",1716.44
5,AwhbzHHUVFDEmB,21,"YHVQFxBGcipqVeP St, 4yPtNz30",3997.38
6,Gk3Rmq6ZPcG5NvqJy,93,"5lb9uFsxS7XtLEIrFUQO8QOfhE St, VDw9WN6z4",5888.39
7,uDVZsqIZ76E80,48,"2rlH3yX890Hy94xCH4xB43PSsJRP St, HzpMjuFm7i",2787.98
8,TcJbTBfNfP8YVaJ,33,"JTNOQOfTrQ3hJnrarTiewgnj St, xwq8fM",7597.75
9,gM6V3ySxax67SVipVO9i,64,"tzk3VP6fVZUGNqS St, DToqvSyS",5562.07
10,60twrgExGyTbgBDqf,22,"YRIiEjIfUV2Ri5DG St, 9GhpRYiyp",8946.74
11,JUqvJzwlz6ssWAZjIF,98,"FfOiCP2I8Hq6NOJn6xdJQjCV5d St, 0HxByp4uZV",2788.32
12,Fy0rb7sN76JpB,74,"OS9q9czhLvGv6b2wNOod9ah8v3BP St, TzgVuCpU",2691.17
13,tFHKy6TCvhaT5kVcIn4,99,"ddU5eV7dZhoOk65oqBS64V8hGR St, qzMyQjQGB",8786.55
14,n85thWzDu4fDdxxLEx,19,"ue4WOXSsAUlHQh0PsVEhh St, jxhZN",2388.14
15,JcHmY1oeZ2Yeg7Cc,50,"G89moWLuKTqLZxvxWhG St, LEuTG2z",1969.18
16,999VMtzdBt,34,"so7RgwhCxltgAEKnYR3EgZLvP St, Bx0bHPmPA",5104.57
17,Ip7Ywzu6pVXHrUdM,26,"TzSpGO7628XJCNAJzy1w St, vuV6vjR",1553.25
18,8Yj65Ugwm9B,81,"oEi3ogm6PZ1ft74fRU St, 2mKHdC",1994.61
19,yabRkqe8ONbvBbQ,96,"PJTgDhAAEqRPGq123 St, nfMssKvkzK",1142.15
20,SGugpY05kjNbd4Zw78,90,"rNe49PAjIqH3gyYAw6gp44JAc St, 2iUZmDXY6E",8283.84
21,7h77FEncoVKyjRnwWr,64,"g43JCOFyzUy3CJUg3LqsrY St, rxseB",9541.66
22,IaPe1WOLNb9GuuZuG,66,"G5dUg7hOhcJUBM6nNT St, gQYAZtqr",2029.18
23,ibm7H5fxZQ,24,"MIREEwF9wvqKEfkTei St, lUn83mrD",6434.51
24,u8GXwrvAW1XzjlPUbN,34,"GVvvwkU0sFCQgsGPREaijGT1fMy St, Ar5QH",3493.66
25,ILGmz8pPWX81,94,"31WJhQ4jXSOb8aUplUvK5Pl St, 1mELmuZ",7004.14
26,cIeOYMzkZzmDeA7qvKV,98,"eHugjKdbrhN56zFmBZt St, 3fQBMT",1281.02
27,3ZK2ymEJNbjitn7,18,"D9Aid3lcidS2NHyOGGPyLI St, zaTXrydq",7559.45
28,iNTyJG4ucFrDjrU,32,"xvQOH29CG0OugYbRRbVNlR St, jqnJvjRA",6408.43
29,YdfMe2PbbRLk,42,"mfOxOKq2VamjcpJ St, SaDWJUGF",8157.19
